experiment_id,status,error,magnification,seeding_density,virus,cargo,dose_vg/well,image_time_h,receptor,bf_file,r_file,g_file,bf_area,r_area,r_intensity,r_filter,g_area,overlapping_area,overlap_r,overlap_g,g_intensity_all,g_intensity_overlap
1,ok,,4x,50000,AAV6,EGFP,50000000000.0,48,EGFRvIII,Image001.tif,Image002.tif,Image003.tif,152820,11557,0.15759602447884058,False,54547,5516,0.47728649303452453,0.10112380149229105,0.7198555518051171,0.7703308734661377
2,ok,,4x,50000,AAV6,EGFP,50000000000.0,48,EGFRvIII,Image004.tif,Image005.tif,Image006.tif,144481,9025,0.1961236217478681,False,62083,5390,0.5972299168975069,0.08681925808997633,0.754931933310025,0.8349448870457273
3,ok,,4x,50000,AAV6,EGFP,50000000000.0,48,EGFRvIII,Image007.tif,Image008.tif,Image009.tif,146380,8571,0.16016114531216757,False,56511,3768,0.4396219810990549,0.06667728406858842,0.7167064125290895,0.7572509470879646
4,ok,,4x,50000,AAV6,EGFP,25000000000.0,48,EGFRvIII,Image010.tif,Image011.tif,Image012.tif,139295,10635,0.17522645353392885,False,45279,5332,0.501363422661025,0.1177587844254511,0.5897448888784957,0.6635445626112411
5,ok,,4x,50000,AAV6,EGFP,25000000000.0,48,EGFRvIII,Image013.tif,Image014.tif,Image015.tif,120479,8123,0.15629790017693646,False,45333,4580,0.5638310968853871,0.10103015463348995,0.6050026319397677,0.6718623169791934
6,ok,,4x,50000,AAV6,EGFP,25000000000.0,48,EGFRvIII,Image016.tif,Image017.tif,Image018.tif,94438,5727,0.1337044683422522,False,31499,2640,0.46097433211105293,0.08381218451379409,0.5317991420829421,0.5449747474747474
7,ok,,4x,50000,AAV6,EGFP,5000000000.0,48,EGFRvIII,Image019.tif,Image020.tif,Image021.tif,135149,12279,0.18625454905473876,False,38083,4162,0.3389526834432771,0.10928760864427697,0.3948812526612409,0.4983982059907096
8,ok,,4x,50000,AAV6,EGFP,5000000000.0,48,EGFRvIII,Image022.tif,Image023.tif,Image024.tif,112191,8450,0.16918064740689173,False,35192,3367,0.3984615384615385,0.09567515344396453,0.3758887937989472,0.49970008793538206
9,ok,,4x,50000,AAV6,EGFP,5000000000.0,48,EGFRvIII,Image025.tif,Image026.tif,Image027.tif,129449,11079,0.18858182500367235,False,35054,4727,0.42666305623251194,0.13484908997546644,0.38561513496823385,0.459360287377062
10,ok,,4x,50000,AAV6,EGFP,2500000000.0,48,EGFRvIII,Image028.tif,Image029.tif,Image030.tif,165814,13539,0.16397422696089292,False,29198,3388,0.2502400472708472,0.11603534488663607,0.33078199017123117,0.4357582702502489
